pair_id,arm,a,b,a_katottg,b_katottg,block,package_label_uk,send_day,deliverable,replied_21d,reminder_sent_day,reply_day,reply_channel,both_replied,reply_side,call_scheduled,call_scheduled_day,call_held,call_held_day,agreed_next_step_30d,agreed_day,concept_drafted_3mo,concept_day,registry_signed_12mo,signed_day,qualitative_code
A001,A,Дмитрівська сільська територіальна громада,Бородянська селищна територіальна громада,UA32080130000056481,UA32080030000070006,center/mid,Поводження з відходами / довкілля — спільне КП,0,True,True,10,16,email,True,both,False,,False,,False,,False,,False,,rejected_as_irrelevant
A002,A,Миколаївська міська територіальна громада,Коблівська сільська територіальна громада,UA48060150000071713,UA48060090000097375,south/large,Вода / захист від повеней — спільне КП,0,False,False,,,,False,,False,,False,,False,,False,,False,,undeliverable
A003,A,Ріпкинська селищна територіальна громада,Вертіївська сільська територіальна громада,UA74100330000029082,UA74040090000047246,north/mid,Освіта — спільне утримання,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A004,A,Бугринська сільська територіальна громада,Бабинська сільська територіальна громада,UA56060070000034529,UA56060010000018261,west/small,тема не визначена — спільний проєкт,0,True,True,10,19,email,False,a,False,,False,,False,,False,,False,,capacity_blocked
A005,A,Новгород-Сіверська міська територіальна громада,Любецька селищна територіальна громада,UA74060030000026607,UA74100230000068041,north/mid,Безпека / ЦЗ — спільний проєкт,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A006,A,Брацлавська селищна територіальна громада,Тульчинська міська територіальна громада,UA05100010000023453,UA05100150000050790,center/small,Дороги / інфраструктура — спільний проєкт,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A007,A,Слобожанська селищна територіальна громада,Новомосковська міська територіальна громада,UA12020250000010438,UA12100070000011492,east/large,тема не визначена — спільний проєкт,0,True,True,,3,email,False,a,True,5,True,9,False,,False,,False,,rejected_as_irrelevant
A008,A,Нивотрудівська сільська територіальна громада,Апостолівська міська територіальна громада,UA12060210000077302,UA12060010000090992,east/small,Поводження з відходами / довкілля — спільне КП,0,True,True,,2,telegram,False,a,False,,False,,False,,False,,False,,rejected_as_irrelevant
A009,A,Батуринська міська територіальна громада,Сухополов'янська сільська територіальна громада,UA74040010000076097,UA74080170000055617,north/small,тема не визначена — спільний проєкт,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A010,A,Нижньоворітська сільська територіальна громада,Перечинська міська територіальна громада,UA21040190000088960,UA21100130000055002,west/mid,Пожежна охорона — спільне утримання,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A011,A,Драбинівська сільська територіальна громада,Новосанжарська селищна територіальна громада,UA53080070000036333,UA53080310000072384,center/small,тема не визначена — спільний проєкт,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A012,A,Лохвицька міська територіальна громада,Заводська міська територіальна громада,UA53060190000015369,UA53060130000040567,center/mid,Поводження з відходами / довкілля — спільне КП,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A013,A,Вишнівська громада,Луцька міська територіальна громада,UA07060050000091514,UA07080170000013585,west/small,Туризм / кластер — спільний проєкт,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A014,A,Повчанська сільська територіальна громада,Дубенська міська територіальна громада,UA56040250000064519,UA56040110000061997,west/small,тема не визначена — спільний проєкт,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A015,A,Божедарівська селищна територіальна громада,Лихівська селищна територіальна громада,UA12040010000018960,UA12040190000056469,east/small,ЦНАП / адмінпослуги — делегування,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A016,A,Деражненська сільська територіальна громада,Головинська сільська територіальна громада,UA56060190000073111,UA56060130000072276,west/small,ЦНАП / адмінпослуги — делегування,0,True,True,10,11,email,True,both,True,15,True,16,True,19,True,59,False,,recognized_shared_priority_advanced
A017,A,Новоборисівська сільська територіальна громада,Білгород-Дністровська міська територіальна громада,UA51140110000053825,UA51040010000016896,south/small,Вода / захист від повеней — спільне КП,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A018,A,Котелевська селищна територіальна громада,Гоголівська селищна територіальна громада,UA53080170000047487,UA53060110000084138,center/mid,Освіта — спільне утримання,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A019,A,Сухоєланецька сільська територіальна громада,Єланецька селищна територіальна громада,UA48060330000083035,UA48040130000074078,south/small,ЦНАП / адмінпослуги — делегування,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A020,A,Снігурівська міська територіальна громада,Білозерська селищна територіальна громада,UA48020190000083597,UA65100010000048953,south/mid,ЦНАП / адмінпослуги — делегування,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A021,A,Куликівська селищна територіальна громада,Чернігівська міська територіальна громада,UA74100210000053397,UA74100390000073425,north/mid,ЦНАП / адмінпослуги — делегування,0,True,True,10,20,email,True,both,True,27,True,31,False,,False,,False,,capacity_blocked
A022,A,Білківська сільська територіальна громада,Мукачівська міська територіальна громада,UA21120010000011654,UA21040150000092428,west/mid,Туризм / кластер — спільний проєкт,0,True,True,10,21,email,True,both,True,23,False,,False,,False,,False,,capacity_blocked
A023,A,Зеленська сільська територіальна громада,Ворохтянська селищна територіальна громада,UA26020050000098694,UA26120010000096774,west/small,Поводження з відходами / довкілля — спільне КП,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
