report_id,arm,hromada,katottg,block,recommended_partner,package_label_uk,send_day,deliverable,opened,opened_day,clicked_recommendation,replied_any,reply_day,inbound_request_90d,inbound_request_30d,inbound_day,engagement_code
R001,R,Юрковецька сільська територіальна громада,UA73060650000012771,west/mid,Рукшинська сільська територіальна громада,Поводження з відходами / довкілля — спільне КП,0,True,True,2,True,False,,False,False,,opened_no_followup
R002,R,Коломийська міська територіальна громада,UA26080070000092582,west/large,Вижницька міська територіальна громада,ЦНАП / адмінпослуги — делегування,0,True,True,5,True,False,,False,False,,opened_no_followup
R003,R,Ставненська сільська територіальна громада,UA21100170000051803,west/small,Перечинська міська територіальна громада,Поводження з відходами / довкілля — спільне КП,0,True,True,1,True,False,,False,False,,opened_no_followup
R004,R,Заліщицька міська територіальна громада,UA61060170000051011,west/large,Кадубовецька сільська територіальна громада,Поводження з відходами / довкілля — спільне КП,0,True,True,0,False,False,,False,False,,opened_no_followup
R005,R,Ставищенська селищна територіальна громада,UA32020170000020698,center/mid,Баришівська селищна територіальна громада,Безпека / ЦЗ — спільний проєкт,0,True,True,1,False,True,1,False,False,,opened_no_followup
R006,R,Бучанська міська територіальна громада,UA32080070000050759,center/large,Гостомельська селищна територіальна громада,Вода / захист від повеней — спільне КП,0,True,True,1,False,False,,True,True,18,asked_about_own_strategy_only
R007,R,Гайсинська міська територіальна громада,UA05040030000050131,center/large,Райгородська сільська територіальна громада,Туризм / кластер — спільний проєкт,0,True,True,6,False,False,,False,False,,opened_no_followup
R008,R,Котелевська селищна територіальна громада,UA53080170000047487,center/mid,Гоголівська селищна територіальна громада,Освіта — спільне утримання,0,True,True,6,False,False,,False,False,,opened_no_followup
R009,R,Шепетівська міська територіальна громада,UA68060330000029010,west/large,Бабинська сільська територіальна громада,Поводження з відходами / довкілля — спільне КП,0,True,True,1,True,False,,False,False,,opened_no_followup
R010,R,Ганнівська сільська територіальна громада,UA35060010000018331,center/small,Єланецька селищна територіальна громада,ЦНАП / адмінпослуги — делегування,0,True,True,5,True,True,10,False,False,,opened_no_followup
R011,R,Широківська сільська територіальна громада,UA48020230000095751,south/small,Галицинівська сільська територіальна громада,Поводження з відходами / довкілля — спільне КП,0,True,True,7,False,False,,False,False,,opened_no_followup
R012,R,Гребінківська міська територіальна громада,UA53040010000091190,center/mid,Лубенська міська територіальна громада,Безпека / ЦЗ — спільний проєкт,0,True,True,5,False,False,,False,False,,opened_no_followup
R013,R,Ворохтянська селищна територіальна громада,UA26120010000096774,west/small,Зеленська сільська територіальна громада,Поводження з відходами / довкілля — спільне КП,0,True,True,0,True,False,,False,False,,opened_no_followup
R014,R,Ямпільська міська територіальна громада,UA05080110000056824,center/large,Липовецька міська територіальна громада,Вода / захист від повеней — спільне КП,0,True,True,2,False,False,,False,False,,opened_no_followup
R015,R,Вертіївська сільська територіальна громада,UA74040090000047246,north/small,Ніжинська міська територіальна громада,Освіта — спільне утримання,0,True,True,2,True,False,,False,False,,opened_no_followup
R016,R,Криничанська селищна територіальна громада,UA12040170000019083,east/mid,Кам'янська міська територіальна громада,Безпека / ЦЗ — спільний проєкт,0,True,True,1,True,False,,False,False,,opened_no_followup
R017,R,Бердичівська міська територіальна громада,UA18020030000035625,center/large,Житомирська міська територіальна громада,Вода / захист від повеней — спільне КП,0,True,True,1,False,False,,False,False,,opened_no_followup
R018,R,Вакулівська сільська територіальна громада,UA12060030000081794,east/small,Криничанська селищна територіальна громада,Пожежна охорона — спільне утримання,0,True,True,0,False,False,,False,False,,opened_no_followup
R019,R,Любецька селищна територіальна громада,UA74100230000068041,north/small,Кіптівська сільська територіальна громада,Вода / захист від повеней — спільне КП,0,True,True,6,True,False,,False,False,,opened_no_followup
R020,R,Дар’ївська сільська територіальна громада,UA65100070000064512,south/small,Херсонська міська територіальна громада,Поводження з відходами / довкілля — спільне КП,0,True,True,5,False,False,,False,False,,opened_no_followup
R021,R,Уланівська сільська територіальна громада,UA05120150000069474,center/mid,Бердичівська міська територіальна громада,Пожежна охорона — спільне утримання,0,True,True,2,True,False,,False,False,,opened_no_followup
R022,R,Поляницька сільська територіальна громада,UA26120130000088448,west/small,Рахівська міська територіальна громада,Вода / захист від повеней — спільне КП,0,True,True,5,True,False,,False,False,,opened_no_followup
